cod_dep,depto,codigo,municipio,perdida_bruta_ha,ganancia_bruta_ha,balance_neto_cobertura_ha,tipo_unidad
6,Santa Rosa,612,Santa Cruz Naranjo,4.59189037,0.42535035,4.166540019999999,Municipio
6,Santa Rosa,613,Pueblo Nuevo Viñas,120.32260601,3.93704058,116.38556543,Municipio
6,Santa Rosa,614,Nueva Santa Rosa,3.98503007,0.77950624,3.20552383,Municipio
7,Sololá,,Lago de Atitlán,17.38789708,8.56903579,8.81886129,Unidad lacustre no municipal
7,Sololá,701,Sololá,10.13218682,0.0,10.13218682,Municipio
7,Sololá,702,San José Chacayá,4.73824381,0.0,4.73824381,Municipio
7,Sololá,703,Santa María Visitación,0.0,0.0,0.0,Municipio
7,Sololá,704,Santa Lucía Utatlán,11.69752809,0.0,11.69752809,Municipio
7,Sololá,705,Nahualá,20.79272909,0.02507143,20.76765766,Municipio
7,Sololá,706,Santa Catarina Ixtahuacán,5.88232192,0.34607635,5.53624557,Municipio
7,Sololá,707,Santa Clara La Laguna,25.94881923,0.0,25.94881923,Municipio
7,Sololá,708,Concepción,7.35156101,0.25946142,7.09209959,Municipio
7,Sololá,709,San Andrés Semetabaj,41.67205083,0.86506853,40.8069823,Municipio
7,Sololá,710,Panajachel,1.64351006,0.51900368,1.12450638,Municipio
7,Sololá,711,Santa Catarina Palopó,2.07640838,2.32596912,-0.2495607399999997,Municipio
7,Sololá,712,San Antonio Palopó,31.83889268,2.18398771,29.65490497,Municipio
7,Sololá,713,San Lucas Tolimán,82.092892,13.09105444,69.00183756000001,Municipio
7,Sololá,714,Santa Cruz La Laguna,1.55713331,1.55720268,-6.937000000006854e-05,Municipio
7,Sololá,715,San Pablo La Laguna,0.43255799,0.0,0.43255799,Municipio
7,Sololá,716,San Marcos La Laguna,4.15281943,0.50960796,3.64321147,Municipio
7,Sololá,717,San Juan La Laguna,60.50004119,60.49297439,0.0070667999999969,Municipio
7,Sololá,718,San Pedro La Laguna,64.36299005000001,0.17308778,64.18990227,Municipio
7,Sololá,719,Santiago Atitlán,81.58288259,263.51067079,-181.9277882,Municipio
8,Totonicapán,801,Totonicapán,31.29307058,1.18510395,30.10796663,Municipio
8,Totonicapán,802,San Cristóbal Totonicapán,0.17289734,0.0,0.17289734,Municipio
